SDBC;1,10E+14;Cash 0 Receipts (PNC);0,04;0,04;4;0,04;0,04;0;0;A;A
SDBC;11004;Cash 0 Disbursements (PNC);11.123,95;11.123,95;11.123,95;11.123,95;11.123,95;736.538,61;736.538,61;A;A
SDBC;11005;Cash 0 Payroll (PNC);0;0;0;0;0;0;0;A;A
SDBC;11006;Cash 0 Concentration (PNC);313.418,21;313.418,21;313.418,21;313.418,21;313.418,21;1.840.141,48;1.840.141,48;A;A
SDBC;11007;Cash 0 Canadian (PNC);26.844,18;26.844,18;26.844,18;26.844,18;26.844,18;375.159,97;375.159,97;A;A
SDBC;11008;Petty Cash Fund;0;0;0;0;0;0;0;A;A
SDBC;11051;Temporary Bank Accounts (PNC);0;0;0;0;0;0;0;A;A
SDBC;11060;New York Bottle Deposit (PNC);44.155,04;44.155,04;44.155,04;44.155,04;44.155,04;44.155,04;44.155,04;A;A
SDBC;11061;Connecticut Bottle Deposit (PNC);0;0;0;0;0;0;0;A;A
SDBC;11100;Anticipated Payment 0 Outstanding Checks;33.869,36;33.869,36;33.869,36;33.869,36;33.869,36;887.534,23;887.534,23;A;A
SDBC;11201;Cash 0 Concentration (Cap1);6.811,40;6.811,40;6.811,40;6.811,40;6.811,40;0;0;A;A
SDBC;11202;Cash 0 Funding (Cap1);5.033.848,69;5.033.848,69;5.033.848,69;5.033.848,69;5.033.848,69;0;0;A;A
SDBC;11540;Derivative Assets;0;0;0;0;0;0;0;H;H
SDBC;12010;Accounts Receivable, Trade;19.541.484,66;19.541.484,66;19.541.484,66;19.541.484,66;19.541.484,66;17.125.883,81;17.125.883,81;;C
SDBC;12011;Accounts Receivable 0 Canadian;0;0;0;0;0;0;0;;C
SDBC;12012;Vendor Return Receivable;0;0;0;0;0;0;0;;C
SDBC;12013;A/R 0 AZ Bottle Production;0;0;0;0;0;0;0;;C
SDBC;12015;A/R 0 Shared Services;0;0;0;0;0;0;0;;C
SDBC;12016;A/R 0 OSC;0;0;0;0;0;0;0;;C
SDBC;12017;A/R 0 DFA;0;0;0;0;0;0;0;;C
SDBC;12018;A/R 0 Suspense/Claims;0;0;0;0;0;0;0;;C
SDBC;12019;A/R 0 Vendor Rebates;0;0;0;0;0;0;0;;C
SDBC;12020;Allowance for Doubtful Accounts;0;0;0;0;0;1.518,00;1.518,00;;C
SDBC;12025;Allowance for Cash Discounts;318.217,24;318.217,24;318.217,24;318.217,24;318.217,24;254.862,99;254.862,99;;C
SDBC;12030;Other Accounts Receivable;346.368,82;346.368,82;346.368,82;346.368,82;346.368,82;245.833,78;245.833,78;;C
SDBC;12033;Receivable 0 Military / Distributor;0;0;0;0;0;0;0;;C
SDBC;12035;Deductions Receivable;0;0;0;0;0;0;0;;C
SDBC;12602;Interco Rec 0 ABC;0;0;0;0;0;0;0;D;D
SDBC;12603;Interco Rec 0 SDNA;0;0;0;0;0;0;0;D;D
SDBC;12604;Interco Rec 0 Harvest Hill Beverages Co;1.110.762,13;1.110.762,13;1.110.762,13;1.110.762,13;1.110.762,13;8.489.268,04;8.489.268,04;D;D
SDBC;12605;Interco Rec 0 Elations Company;0;0;0;0;0;0;0;D;D
